Week,Cycle Phase,Starting BTC (BTC),BTC Growth (BTC),Net BTC Holdings (BTC),BTC Price USD,BTC Price EUR,Portfolio Value EUR,Contribution EUR,Contribution Fee EUR,Net Contribution BTC,Withdrawal EUR,Portfolio (Pre-Withdrawal) EUR
28,Bull,0.01906313,-0.00004678,0.01940964,161710.66,152557.22,2961.08,60.00,0.15,0.00039330,0,2908.22
29,Bull,0.01940964,0.00007058,0.01980469,196014.30,184919.15,3662.27,60.00,0.15,0.00032447,0,3589.21
30,Bull,0.01980469,0.00005563,0.02020684,183538.38,173149.41,3498.80,60.00,0.15,0.00034652,0,3429.17
31,Bull,0.02020684,-0.00005745,0.02051502,173946.87,164100.82,3366.53,60.00,0.15,0.00036563,0,3315.96
32,Bull,0.02051502,-0.00006470,0.02079809,182877.44,172525.89,3588.21,60.00,0.15,0.00034777,0,3539.37
33,Bull,0.02079809,0.00006831,0.02118406,200215.49,188882.54,4001.30,60.00,0.15,0.00031766,0,3928.40
34,Bull,0.02118406,0.00008554,0.02150560,269480.92,254227.28,5467.31,60.00,0.15,0.00023601,0,5385.57
35,Bull,0.02150560,0.00006478,0.02180543,270592.04,255275.51,5566.39,60.00,0.09,0.00023504,0,5489.85
36,Bull,0.02180543,0.00005295,0.02214875,219025.03,206627.39,4576.54,60.00,0.09,0.00029038,0,4505.60
37,Bull,0.02214875,0.00005303,0.02256562,174804.61,164910.01,3721.30,60.00,0.15,0.00036383,0,3652.55
38,Bull,0.02256562,0.00006569,0.02300627,169616.84,160015.88,3681.37,60.00,0.15,0.00037496,0,3610.86
39,Bull,0.02300627,0.00006311,0.02347946,155092.83,146313.99,3435.37,60.00,0.15,0.00041008,0,3366.14
40,Bull,0.02347946,-0.00008135,0.02375320,179108.13,168969.94,4013.58,60.00,0.15,0.00035509,0,3967.32
41,Bull,0.02375320,-0.00005906,0.02412258,148445.77,140043.18,3378.20,60.00,0.15,0.00042844,0,3326.47
42,Bull,0.02412258,0.00006205,0.02468428,127291.45,120086.28,2964.24,60.00,0.15,0.00049964,0,2896.79
43,Bull,0.02468428,-0.00006482,0.02519028,111419.25,105112.50,2647.81,60.00,0.15,0.00057082,0,2594.63
44,Bull,0.02519028,0.00006522,0.02591690,96160.03,90717.01,2351.10,60.00,0.15,0.00066140,0,2285.19
45,Bull,0.02591690,0.00006701,0.02675137,82870.20,78179.44,2091.41,60.00,0.15,0.00076747,0,2026.17
46,Bull,0.02675137,0.00010226,0.02745595,105590.31,99613.50,2734.98,60.00,0.15,0.00060233,0,2664.80
47,Bull,0.02745595,0.00008833,0.02810593,113237.82,106828.13,3002.50,60.00,0.15,0.00056165,0,2933.07
48,Bull,0.02810593,0.00010158,0.02867373,136415.44,128693.81,3690.13,60.00,0.15,0.00046622,0,3617.06
49,Bull,0.02867373,-0.00007875,0.02910426,124882.29,117813.48,3428.87,60.00,0.15,0.00050928,0,3378.15
50,Bull,0.02910426,0.00010282,0.02963955,147065.68,138741.21,4112.23,60.00,0.15,0.00043246,0,4037.96
51,Bull,0.02963955,0.00011181,0.03032454,184933.53,174465.59,5290.59,100.00,0.25,0.00057318,0,5171.08
52,Bull,0.03032454,-0.00010494,0.03071650,213324.40,201249.44,6181.68,100.00,0.15,0.00049690,0,6102.80
53,Bull,0.03071650,-0.00007995,0.03120923,185090.78,174613.94,5449.57,100.00,0.15,0.00057269,0,5363.53
54,Bull,0.03120923,0.00008868,0.03190255,175313.16,165389.77,5276.36,100.00,0.15,0.00060463,0,5161.69
55,Bull,0.03190255,0.00010432,0.03256157,191096.13,180279.37,5870.18,100.00,0.15,0.00055469,0,5751.37
56,Bull,0.03256157,0.00008275,0.03329915,161871.80,152709.24,5085.09,100.00,0.15,0.00065484,0,4972.45
57,Bull,0.03329915,0.00008470,0.03415619,137245.55,129476.93,4422.44,100.00,0.15,0.00077234,0,4311.47
58,Bull,0.03415619,0.00009093,0.03511750,121784.96,114891.47,4034.70,100.00,0.25,0.00087039,0,3924.25
59,Bull,0.03511750,0.00011239,0.03604576,129923.50,122569.34,4418.10,100.00,0.25,0.00081586,0,4304.33
60,Bull,0.03604576,0.00011820,0.03691034,142019.14,133980.32,4945.26,100.00,0.25,0.00074638,0,4829.42
61,Bear,0.03691034,0.00003610,0.03770956,138903.57,131041.10,4941.50,100.00,0.25,0.00076312,0,4836.77
62,Bear,0.03770956,0.00003229,0.03863314,118928.58,112196.77,4334.51,100.00,0.25,0.00089129,0,4230.89
63,Bear,0.03863314,0.00004233,0.03948885,130321.04,122944.38,4854.93,100.00,0.25,0.00081338,0,4749.73
64,Bear,0.03948885,-0.00005019,0.04007861,165637.96,156262.23,6262.77,100.00,0.25,0.00063995,0,6170.62
65,Bear,0.04007861,0.00003449,0.04085684,142522.28,134454.98,5493.41,100.00,0.15,0.00074374,0,5388.77
66,Bear,0.04085684,0.00005303,0.04148291,184978.73,174508.24,7239.11,100.00,0.15,0.00057304,0,7129.85
67,Bear,0.04148291,0.00004468,0.04205958,199251.22,187972.85,7906.06,100.00,0.15,0.00053199,0,7797.66
68,Bear,0.04205958,-0.00005032,0.04245394,238375.22,224882.28,9547.14,100.00,0.15,0.00044468,0,9458.45
69,Bear,0.04245394,-0.00004977,0.04278346,279468.95,263649.95,11279.86,100.00,0.15,0.00037929,0,11192.98
70,Bear,0.04278346,0.00003159,0.04332868,206374.56,194692.98,8435.79,100.00,0.15,0.00051363,0,8329.64
71,Bear,0.04332868,0.00004330,0.04388598,206222.85,194549.86,8538.01,100.00,0.15,0.00051401,0,8429.59
72,Bear,0.04388598,0.00005355,0.04436079,251630.18,237386.96,10530.67,100.00,0.15,0.00042125,0,10417.96
73,Bear,0.04436079,0.00003908,0.04487804,221677.61,209129.82,9385.34,100.00,0.15,0.00047817,0,9277.16
74,Bear,0.04487804,0.00004305,0.04541959,212636.64,200600.60,9111.20,100.00,0.15,0.00049850,0,9002.56
75,Bear,0.04541959,-0.00004038,0.04593994,189039.63,178339.27,8192.90,100.00,0.15,0.00056073,0,8100.10
76,Bear,0.04593994,0.00004236,0.04659040,174313.24,164446.45,7661.63,100.00,0.15,0.00060810,0,7554.66
77,Bear,0.04659040,0.00003761,0.04738135,140705.84,132741.36,6289.47,100.00,0.15,0.00075334,0,6184.47
78,Bear,0.04738135,0.00005067,0.04813650,150465.89,141948.95,6832.93,100.00,0.15,0.00070448,0,6725.73
79,Bear,0.04813650,-0.00004333,0.04887579,135442.45,127775.90,6245.15,100.00,0.15,0.00078262,0,6150.68
80,Bear,0.04887579,0.00006350,0.04954167,175968.88,166008.38,8224.33,100.00,0.15,0.00060238,0,8113.79
81,Bear,0.04954167,0.00005293,0.05015845,187991.27,177350.26,8895.61,100.00,0.15,0.00056386,0,8786.23
82,Bear,0.05015845,0.00004978,0.05077641,186559.32,175999.36,8936.62,100.00,0.15,0.00056818,0,8827.86
83,Bear,0.05077641,0.00006073,0.05131220,223129.62,210499.64,10801.20,100.00,0.15,0.00047506,0,10688.42
84,Bear,0.05131220,0.00004293,0.05192291,186692.49,176124.99,9144.92,100.00,0.15,0.00056778,0,9037.36
85,Bear,0.05192291,0.00003353,0.05283558,120573.44,113748.53,6009.97,100.00,0.15,0.00087913,0,5906.15
86,Bear,0.05283558,0.00005749,0.05370097,131204.20,123777.55,6646.98,100.00,0.15,0.00080790,0,6539.86
87,Bear,0.05370097,0.00005661,0.05452399,138307.13,130478.43,7114.20,100.00,0.15,0.00076641,0,7006.82
88,Bear,0.05452399,-0.00004860,0.05533520,123283.13,116304.84,6435.75,100.00,0.15,0.00085981,0,6341.40
89,Bear,0.05533520,0.00005798,0.05621374,129181.42,121869.27,6850.73,100.00,0.15,0.00082055,0,6743.66
90,Bear,0.05621374,0.00005263,0.05714273,120955.08,114108.57,6520.47,100.00,0.15,0.00087636,0,6414.47
91,Bear,0.05714273,0.00004842,0.05822533,102496.38,96694.70,5630.08,100.00,0.15,0.00103418,0,5525.40
92,Bear,0.05822533,0.00005095,0.05945816,89687.62,84610.96,5030.81,100.00,0.15,0.00118188,0,4926.50
93,Bear,0.05945816,0.00005691,0.06074990,85841.90,80982.93,4919.70,100.00,0.15,0.00123483,0,4815.10
94,Bear,0.06074990,0.00006455,0.06197653,91215.70,86052.54,5333.24,100.00,0.25,0.00116208,0,5227.68
95,Bear,0.06197653,0.00005149,0.06342670,75785.79,71496.02,4534.76,100.00,0.15,0.00139868,0,4431.08
96,Bear,0.06342670,0.00006804,0.06479859,81297.67,76695.91,4969.79,100.00,0.25,0.00130385,0,4864.57
97,Bear,0.06479859,-0.00007236,0.06589388,90781.22,85642.66,5643.33,100.00,0.25,0.00116764,0,5549.52
98,Bear,0.06589388,0.00007564,0.06698667,104213.40,98314.52,6585.76,100.00,0.15,0.00101714,0,6478.33
99,Bear,0.06698667,0.00005427,0.06829632,84436.73,79657.29,5440.30,100.00,0.15,0.00125538,0,5335.98
100,Bear,0.06829632,0.00006486,0.06968297,80194.46,75655.15,5271.88,100.00,0.15,0.00132179,0,5166.97
101,Bear,0.06968297,0.00008278,0.07087841,95266.96,89874.50,6370.16,100.00,0.15,0.00111266,0,6262.72
102,Bear,0.07087841,0.00005239,0.07243624,70411.11,66425.58,4811.62,100.00,0.15,0.00150544,0,4708.14
103,Bear,0.07243624,0.00006834,0.07410022,66431.33,62671.06,4643.94,100.00,0.25,0.00159563,0,4539.66
104,Bear,0.07410022,0.00008141,0.07563397,72985.78,68854.51,5207.74,100.00,0.25,0.00145234,0,5102.13
105,Bear,0.07563397,0.00007436,0.07718548,71759.80,67697.92,5225.30,100.00,0.15,0.00147715,0,5120.26
106,Bear,0.07718548,0.00007750,0.07873413,72052.37,67973.93,5351.87,100.00,0.15,0.00147115,0,5246.60
107,Bear,0.07873413,0.00005991,0.08072733,54828.98,51725.46,4175.66,100.00,0.15,0.00193328,0,4072.56
108,Bear,0.08072733,0.00007036,0.08301590,47786.24,45081.36,3742.47,100.00,0.25,0.00221821,0,3639.30
109,Bear,0.08301590,0.00011277,0.08476161,64913.49,61239.14,5190.73,100.00,0.25,0.00163294,0,5083.82
110,Bear,0.08476161,0.00009608,0.08629831,73579.73,69414.84,5990.38,100.00,0.15,0.00144061,0,5883.71
111,Bear,0.08629831,0.00009472,0.08770554,80761.02,76189.64,6682.25,100.00,0.15,0.00131251,0,6575.04
112,Bear,0.08770554,0.00009200,0.08904885,84711.19,79916.22,7116.45,100.00,0.15,0.00125131,0,7009.10
113,Bear,0.08904885,-0.00008899,0.09021203,84652.80,79861.13,7204.43,100.00,0.15,0.00125217,0,7111.54
114,Bear,0.09021203,-0.00008743,0.09141664,82040.98,77397.15,7075.39,100.00,0.15,0.00129204,0,6982.15
115,Bear,0.09141664,0.00008549,0.09288376,76720.68,72378.00,6722.74,100.00,0.15,0.00138164,0,6616.55
116,Bear,0.09288376,0.00009209,0.09436935,76068.13,71762.38,6772.17,100.00,0.15,0.00139349,0,6665.56
117,Bear,0.09436935,0.00008665,0.09597367,69843.62,65890.21,6323.73,100.00,0.15,0.00151768,0,6218.02
118,Bear,0.09597367,0.00014041,0.09715143,102184.14,96400.13,9365.41,100.00,0.15,0.00103734,0,9251.87
119,Bear,0.09715143,0.00010033,0.09825625,105525.65,99552.50,9781.66,100.00,0.15,0.00100450,0,9671.67
120,Bear,0.09825625,0.00008684,0.09947967,93261.90,87982.92,8752.51,100.00,0.15,0.00113658,0,8644.87
121,Bear,0.09947967,0.00009751,0.10073677,91411.41,86237.18,8687.25,100.00,0.15,0.00115959,0,8578.85
122,Bear,0.10073677,-0.00010369,0.10175965,94091.19,88765.27,9032.72,100.00,0.15,0.00112657,0,8941.93
123,Bear,0.10175965,-0.00011173,0.10267392,103313.22,97465.30,10007.14,100.00,0.15,0.00102601,0,9918.03
124,Bear,0.10267392,0.00013029,0.10361273,131104.01,123683.03,12815.14,100.00,0.15,0.00080852,0,12699.02
125,Bear,0.10361273,0.00007976,0.10474286,100916.73,95204.46,9971.99,100.00,0.15,0.00105037,0,9864.39
126,Bear,0.10474286,0.00007842,0.10622421,75555.87,71279.12,7571.57,100.00,0.15,0.00140294,0,7465.98
127,Bear,0.10622421,0.00009593,0.10787355,68237.25,64374.77,6944.33,100.00,0.15,0.00155340,0,6838.16
128,Bear,0.10787355,0.00012890,0.10930246,81538.20,76922.83,8407.85,100.00,0.15,0.00130000,0,8297.94
129,Bear,0.10930246,0.00014133,0.11044920,105429.16,99461.47,10985.44,100.00,0.15,0.00100541,0,10871.38
130,Bear,0.11044920,-0.00013109,0.11116523,125130.39,118047.54,13122.78,100.00,0.15,0.00084712,0,13038.26
131,Bear,0.11116523,-0.00008215,0.11222937,92471.80,87237.55,9790.62,100.00,0.15,0.00114630,0,9697.78
132,Bear,0.11222937,0.00007844,0.11394792,64629.82,60971.53,6947.58,100.00,0.15,0.00164011,0,6842.80
133,Bear,0.11394792,0.00010605,0.11581627,60148.70,56744.06,6571.89,100.00,0.15,0.00176230,0,6465.87
134,Bear,0.11581627,0.00013255,0.11748864,68838.89,64942.35,7629.99,100.00,0.15,0.00153983,0,7521.38
135,Bear,0.11748864,0.00012811,0.11902896,75059.74,70811.07,8428.57,100.00,0.15,0.00141221,0,8319.50
136,Bear,0.11902896,-0.00011180,0.12042062,70503.51,66512.75,8009.51,100.00,0.15,0.00150347,0,7916.94
137,Bear,0.12042062,0.00015007,0.12177714,87861.10,82887.83,10093.84,100.00,0.15,0.00120645,0,9981.40
138,Bear,0.12177714,0.00012149,0.12310793,87653.75,82692.22,10180.07,100.00,0.15,0.00120930,0,10070.02
139,Bear,0.12310793,0.00014471,0.12428144,103032.65,97200.61,12080.23,100.00,0.15,0.00102880,0,11966.17
140,Bear,0.12428144,0.00014533,0.12530655,120485.54,113665.60,14243.04,100.00,0.15,0.00087977,0,14126.52
141,Bear,0.12530655,0.00014298,0.12622055,137479.51,129697.65,16370.51,100.00,0.15,0.00077102,0,16251.96
142,Bear,0.12622055,0.00012058,0.12714825,131330.46,123896.66,15753.24,100.00,0.15,0.00080712,0,15638.31
143,Bear,0.12714825,0.00013375,0.12804927,138154.31,130334.26,16689.21,100.00,0.15,0.00076726,0,16571.77
144,Bear,0.12804927,0.00009821,0.12914781,105964.47,99966.48,12910.45,100.00,0.15,0.00100034,0,12800.63
145,Bear,0.12914781,0.00011736,0.13036596,96294.91,90844.25,11843.00,100.00,0.15,0.00110079,0,11732.34
146,Bear,0.13036596,0.00013763,0.13154626,101662.04,95907.58,12616.28,100.00,0.15,0.00104267,0,12503.08
147,Bear,0.13154626,0.00012185,0.13279375,94168.74,88838.43,11797.19,100.00,0.15,0.00112564,0,11686.36
148,Bear,0.13279375,0.00013730,0.13401974,97364.99,91853.77,12310.22,100.00,0.15,0.00108869,0,12197.61
149,Bear,0.13401974,-0.00012393,0.13507316,90032.79,84936.59,11472.65,100.00,0.15,0.00117735,0,11383.18
150,Bear,0.13507316,0.00012121,0.13650641,80790.05,76217.03,10404.11,100.00,0.15,0.00131204,0,10294.88
151,Bear,0.13650641,-0.00013053,0.13774800,77252.96,72880.15,10039.09,100.00,0.15,0.00137212,0,9948.61
152,Bear,0.13774800,0.00015549,0.13911901,87205.50,82269.34,11445.23,100.00,0.15,0.00121552,0,11332.44
153,Bear,0.13911901,0.00013578,0.14050023,85110.08,80292.53,11281.12,100.00,0.15,0.00124545,0,11170.22
154,Bear,0.14050023,-0.00011304,0.14193524,68473.69,64597.82,9168.71,100.00,0.15,0.00154804,0,9076.01
155,Bear,0.14193524,-0.00013773,0.14339287,66442.94,62682.02,8988.15,100.00,0.15,0.00159535,0,8896.79
156,Bear,0.14339287,0.00006962,0.14674813,32261.63,30435.50,4466.35,100.00,0.15,0.00328564,0,4364.23
157,Bear,0.14674813,0.00013254,0.15051850,29138.20,27488.87,4137.58,100.00,0.25,0.00363784,0,4033.94
158,Bear,0.15051850,0.00011221,0.15551064,21721.65,20492.12,3186.74,100.00,0.25,0.00487992,0,3084.44
159,Bear,0.15551064,-0.00012060,0.16168264,16845.16,15891.66,2569.41,100.00,0.25,0.00629261,0,2471.32
160,Bear,0.16168264,-0.00017108,0.16745869,17823.74,16814.85,2815.79,100.00,0.25,0.00594712,0,2718.67
161,Bear,0.16745869,0.00017010,0.17348346,18105.21,17080.39,2963.17,100.00,0.25,0.00585467,0,2860.26
162,Bear,0.17348346,0.00018289,0.17921977,19087.35,18006.94,3227.20,100.00,0.25,0.00555342,0,3123.91
163,Bear,0.17921977,0.00014405,0.18627318,15341.52,14473.13,2695.96,100.00,0.25,0.00690935,0,2593.87
164,Bear,0.18627318,0.00017621,0.19375334,14512.68,13691.21,2652.72,100.00,0.25,0.00730396,0,2550.30
165,Bear,0.19375334,0.00018297,0.20167076,13704.92,12929.17,2607.44,100.00,0.25,0.00773445,0,2505.07
166,Bear,0.20167076,-0.00019673,0.20940262,13369.33,12612.58,2641.11,100.00,0.25,0.00792859,0,2543.59
167,Bear,0.20940262,0.00021121,0.21747440,13485.04,12721.74,2766.65,100.00,0.25,0.00786056,0,2663.97
168,Bear,0.21747440,0.00024544,0.22468474,15219.18,14357.72,3225.96,100.00,0.25,0.00696489,0,3122.44
169,Bear,0.22468474,0.00018645,0.23326452,12629.06,11914.21,2779.16,100.00,0.25,0.00839334,0,2676.94
170,Bear,0.23326452,0.00022492,0.24219409,12177.40,11488.11,2782.35,100.00,0.25,0.00870465,0,2679.77
171,Bear,0.24219409,0.00024812,0.25093905,12475.23,11769.08,2953.32,100.00,0.25,0.00849684,0,2850.40
172,Bear,0.25093905,-0.00022520,0.26018190,11195.55,10561.84,2748.00,100.00,0.25,0.00946805,0,2650.38
173,Bear,0.26018190,0.00023804,0.27076863,10242.85,9663.06,2616.45,100.00,0.25,0.01034869,0,2514.15
174,Bear,0.27076863,0.00025872,0.28185809,9786.95,9232.98,2602.39,100.00,0.25,0.01083075,0,2500.00
175,Bear,0.28185809,0.00038037,0.29026426,13207.41,12459.82,3616.64,100.00,0.25,0.00802580,0,3511.90
176,Bear,0.29026426,-0.00022677,0.30031030,10318.49,9734.43,2923.35,100.00,0.25,0.01027282,0,2825.56
177,Bear,0.30031030,0.00034796,0.30952422,11955.85,11279.10,3491.16,100.00,0.25,0.00886595,0,3387.23
178,Bear,0.30952422,0.00031117,0.31865458,12019.24,11338.91,3613.19,100.00,0.25,0.00881919,0,3509.67
179,Bear,0.31865458,-0.00024774,0.32975044,9344.47,8815.54,2906.93,100.00,0.25,0.01134361,0,2809.11
180,Bear,0.32975044,0.00025323,0.34477526,7175.94,6769.75,2334.04,100.00,0.25,0.01477159,0,2232.33
181,Bear,0.34477526,0.00029579,0.36228867,6156.49,5808.01,2104.17,100.00,0.25,0.01721762,0,2002.46
182,Bear,0.36228867,0.00029592,0.38366391,5028.62,4743.98,1820.10,100.00,0.25,0.02107933,0,1718.69
183,Bear,0.38366391,0.00042566,0.40308917,5579.07,5263.27,2121.57,100.00,0.25,0.01899960,0,2019.33
184,Bear,0.40308917,0.00038588,0.42332219,5340.82,5038.51,2132.91,100.00,0.25,0.01984714,0,2030.97
185,Bear,0.42332219,0.00056803,0.43868124,7166.51,6760.86,2965.86,100.00,0.25,0.01479103,0,2862.02
186,Bear,0.43868124,0.00042230,0.45446833,6898.89,6508.39,2957.86,100.00,0.25,0.01536479,0,2855.11
187,Bear,0.45446833,0.00040169,0.47225367,6097.68,5752.53,2716.65,100.00,0.25,0.01738365,0,2614.34
188,Bear,0.47225367,-0.00033018,0.49678718,4263.24,4021.93,1998.04,100.00,0.25,0.02486369,0,1899.37
189,Bear,0.49678718,0.00052817,0.52070176,4532.55,4275.99,2226.51,100.00,0.25,0.02338641,0,2124.26
190,Bear,0.52070176,-0.00050134,0.54448996,4364.02,4117.00,2241.66,100.00,0.25,0.02428955,0,2143.73
191,Bear,0.54448996,0.00041297,0.57692823,3309.88,3122.53,1801.48,100.00,0.25,0.03202529,0,1700.19
192,Bear,0.57692823,-0.00077352,0.60004072,4437.74,4186.55,2512.10,100.00,0.25,0.02388602,0,2415.34
193,Bear,0.60004072,0.00046880,0.63108275,3467.09,3270.84,2064.17,100.00,0.25,0.03057323,0,1962.63
194,Bear,0.63108275,0.00058152,0.66484307,3194.81,3013.97,2003.82,100.00,0.25,0.03317880,0,1902.07
195,Bear,0.66484307,0.00078584,0.69369923,3776.23,3562.48,2471.29,100.00,0.25,0.02807032,0,2368.49
196,Bear,0.69369923,0.00078675,0.71923649,4282.74,4040.32,2905.95,100.00,0.25,0.02475051,0,2802.77
197,Bear,0.71923649,0.00053540,0.75302087,3188.07,3007.61,2264.79,100.00,0.25,0.03324898,0,2163.18
198,Bear,0.75302087,0.00082390,0.78423329,3488.16,3290.72,2580.69,100.00,0.25,0.03038853,0,2477.98
199,Bear,0.78423329,0.00079814,0.81489038,3550.03,3349.08,2729.13,100.00,0.25,0.02985894,0,2626.46
200,Bear,0.81489038,0.00073324,0.84880764,3194.31,3013.50,2557.88,100.00,0.25,0.03318402,0,2455.67
201,Bear,0.84880764,0.00102066,0.87742499,3841.04,3623.62,3179.46,100.00,0.25,0.02759669,0,3075.76
202,Bear,0.87742499,0.00086344,0.90633198,3779.84,3565.88,3231.87,100.00,0.25,0.02804355,0,3128.79
203,Bear,0.90633198,-0.00064240,0.94525519,2679.09,2527.45,2389.08,100.00,0.25,0.03956561,0,2290.71
204,Bear,0.94525519,0.00085434,0.98988563,2421.41,2284.35,2261.25,100.00,0.25,0.04377611,0,2159.29
205,Bear,0.98988563,-0.00093465,1.03531412,2286.30,2156.89,2233.05,100.00,0.25,0.04636314,0,2135.07
206,Bear,1.03531412,0.00100000,1.08431446,2208.32,2083.32,2258.97,100.00,0.25,0.04800034,0,2156.89
207,Bear,1.08431446,0.00117858,1.12965429,2400.29,2264.43,2558.02,100.00,0.25,0.04416125,0,2455.35
208,Bear,1.12965429,0.00109387,1.17635403,2324.26,2192.70,2579.39,100.00,0.25,0.04560587,0,2476.99
209,Bull,1.17635403,0.00357881,1.22490474,2357.03,2223.61,2723.71,100.00,0.25,0.04497190,0,2615.75
210,Bull,1.22490474,-0.00382158,1.26432673,2451.23,2312.48,2923.73,100.00,0.25,0.04324357,0,2832.57
211,Bull,1.26432673,-0.00303021,1.31542552,1958.28,1847.44,2430.17,100.00,0.25,0.05412900,0,2335.77
212,Bull,1.31542552,0.00422180,1.37024372,2095.01,1976.43,2708.18,100.00,0.25,0.05059639,0,2599.84
213,Bull,1.37024372,0.00377244,1.42914979,1922.60,1813.78,2592.16,100.00,0.25,0.05513363,0,2485.31
214,Bull,1.42914979,0.00376552,1.49569082,1688.56,1592.98,2382.60,100.00,0.25,0.06277551,0,2276.60
215,Bull,1.49569082,-0.00469510,1.55098983,1766.84,1666.83,2585.24,100.00,0.25,0.05999410,0,2493.06
216,Bull,1.55098983,0.00385272,1.62729800,1462.97,1380.16,2245.93,100.00,0.25,0.07245546,0,2140.61
217,Bull,1.62729800,0.00522506,1.70021990,1565.80,1477.17,2511.52,100.00,0.25,0.06769683,0,2403.80
218,Bull,1.70021990,0.00547508,1.76876224,1680.75,1585.61,2804.57,100.00,0.25,0.06306726,0,2695.88
219,Bull,1.76876224,0.00439166,1.84935583,1391.04,1312.30,2426.91,100.00,0.25,0.07620194,0,2321.15
220,Bull,1.84935583,0.00655190,1.92043456,1642.73,1549.74,2976.18,100.00,0.25,0.06452683,0,2866.03
221,Bull,1.92043456,0.00790077,1.97538879,2252.76,2125.24,4198.18,100.00,0.25,0.04705345,0,4081.39
222,Bull,1.97538879,0.00604562,2.02755814,2298.17,2168.08,4395.91,100.00,0.25,0.04612374,0,4282.80
223,Bull,2.02755814,0.00529435,2.08584399,2000.32,1887.10,3936.19,100.00,0.25,0.05299149,0,3826.20
224,Bull,2.08584399,-0.00643440,2.13094450,2056.86,1940.43,4134.95,100.00,0.25,0.05153491,0,4047.44
225,Bull,2.13094450,0.00786892,2.18068118,2531.78,2388.47,5208.50,100.00,0.25,0.04186776,0,5089.70
226,Bull,2.18068118,0.00548724,2.23608434,2123.57,2003.37,4479.70,100.00,0.15,0.04991592,0,4368.71
227,Bull,2.23608434,-0.00784707,2.27090907,2484.08,2343.47,5321.80,100.00,0.25,0.04267180,0,5240.19
228,Bull,2.27090907,0.00559074,2.32849850,2038.51,1923.13,4477.99,100.00,0.15,0.05199869,0,4367.24
