Week,Cycle Phase,Starting BTC (BTC),BTC Growth (BTC),Net BTC Holdings (BTC),BTC Price USD,BTC Price EUR,Portfolio Value EUR,Contribution EUR,Contribution Fee EUR,Net Contribution BTC,Withdrawal EUR,Portfolio (Pre-Withdrawal) EUR
173,Bear,0.03136059,0.00003323,0.03135339,2622076.28,2473656.87,77557.52,100.00,0.10,0.00004043,200,77575.33
174,Bear,0.03135339,0.00002940,0.03133968,2458834.96,2319655.62,72697.26,100.00,0.10,0.00004311,200,72729.06
175,Bear,0.03133968,0.00003475,0.03133555,2726403.27,2572078.56,80597.50,100.00,0.10,0.00003888,200,80608.12
176,Bear,0.03133555,0.00003843,0.03134227,3343310.91,3154066.90,98855.62,100.00,0.10,0.00003171,200,98834.42
177,Bear,0.03134227,0.00004288,0.03136198,4574112.19,4315200.18,135333.21,100.00,0.10,0.00002317,200,135248.17
178,Bear,0.03136198,0.00003691,0.03137920,5383364.91,5078646.15,159363.84,100.00,0.07,0.00001969,200,159276.38
179,Bear,0.03137920,0.00003240,0.03139253,5558958.22,5244300.20,164631.86,100.00,0.07,0.00001907,200,164561.93
180,Bear,0.03139253,0.00004296,0.03142156,7607757.82,7177130.01,225516.63,100.00,0.07,0.00001393,200,225308.28
181,Bear,0.03142156,-0.00003722,0.03137258,9011077.20,8501016.23,266698.82,100.00,0.07,0.00001176,200,267115.20
182,Bear,0.03137258,0.00003668,0.03139920,10535631.41,9939274.92,312085.28,100.00,0.07,0.00001006,200,311820.70
183,Bear,0.03139920,0.00003273,0.03142228,10982092.54,10360464.66,325549.39,100.00,0.07,0.00000965,200,325310.30
184,Bear,0.03142228,0.00002371,0.03143319,8285446.28,7816458.75,245696.24,100.00,0.07,0.00001279,200,245610.94
185,Bear,0.03143319,0.00002862,0.03144777,7545082.68,7118002.53,223845.28,100.00,0.07,0.00001405,200,223741.53
186,Bear,0.03144777,-0.00002484,0.03140514,5959036.95,5621732.97,176551.31,100.00,0.07,0.00001779,200,176790.94
187,Bear,0.03140514,0.00002880,0.03141455,5465414.98,5156051.87,161975.05,100.00,0.07,0.00001939,200,161926.53
188,Bear,0.03141455,-0.00002521,0.03136517,4385552.96,4137314.11,129767.57,100.00,0.07,0.00002417,200,129971.86
189,Bear,0.03136517,0.00002743,0.03136497,3836013.38,3618880.55,113506.09,100.00,0.07,0.00002763,200,113506.81
190,Bear,0.03136497,0.00003210,0.03137008,3926040.45,3703811.74,116188.85,100.00,0.07,0.00002700,200,116169.96
191,Bear,0.03137008,0.00003026,0.03137235,3787520.28,3573132.34,112097.57,100.00,0.07,0.00002799,200,112089.43
192,Bear,0.03137235,-0.00002319,0.03131130,2799165.18,2640721.87,82684.43,100.00,0.07,0.00003787,200,82845.66
193,Bear,0.03131130,0.00002465,0.03128784,2203605.08,2078872.71,65043.45,100.00,0.10,0.00004810,200,65092.20
194,Bear,0.03128784,0.00002585,0.03125547,1820571.16,1717519.96,53681.89,100.00,0.10,0.00005822,200,53737.50
195,Bear,0.03125547,0.00002569,0.03121031,1496228.16,1411536.00,44054.48,100.00,0.10,0.00007084,200,44118.22
196,Bear,0.03121031,0.00003350,0.03117782,1606120.02,1515207.56,47240.87,100.00,0.15,0.00006600,200,47290.10
197,Bear,0.03117782,-0.00002958,0.03107867,1523638.60,1437394.90,44672.32,100.00,0.15,0.00006957,200,44814.84
198,Bear,0.03107867,0.00002492,0.03110359,1221766.56,1152609.96,35850.31,100.00,0.15,0.00008676,100,35821.59
199,Bear,0.03110359,0.00003143,0.03113502,1234453.84,1164579.09,36259.19,100.00,0.15,0.00008587,100,36222.59
200,Bear,0.03113502,-0.00004347,0.03103005,1723459.01,1625904.72,50451.90,100.00,0.15,0.00006150,200,50622.57
201,Bear,0.03103005,-0.00004246,0.03094264,2358281.15,2224793.54,68840.98,100.00,0.10,0.00004495,200,69035.45
202,Bear,0.03094264,0.00003996,0.03094780,3045631.88,2873237.62,88920.37,100.00,0.10,0.00003480,200,88905.55
203,Bear,0.03094780,0.00003263,0.03094741,3210795.78,3029052.62,93741.33,100.00,0.10,0.00003301,200,93742.50
204,Bear,0.03094741,0.00002003,0.03091643,2078045.41,1960420.20,60609.19,100.00,0.10,0.00005101,200,60669.92
205,Bear,0.03091643,-0.00002990,0.03083379,2009828.64,1896064.76,58462.85,100.00,0.10,0.00005274,200,58619.55
206,Bear,0.03083379,0.00003377,0.03081939,2201067.45,2076478.73,63995.82,100.00,0.10,0.00004816,200,64025.70
207,Bear,0.03081939,0.00003083,0.03080208,2201689.68,2077065.74,63977.94,100.00,0.10,0.00004814,200,64013.91
208,Bear,0.03080208,0.00003043,0.03078377,2174925.40,2051816.41,63162.64,100.00,0.10,0.00004874,200,63200.21
209,Bull,0.03078377,0.00009001,0.03082377,2119747.04,1999761.36,61640.19,100.00,0.10,0.00005001,200,61560.19
210,Bull,0.03082377,0.00010714,0.03088775,2455905.38,2316891.87,71563.57,100.00,0.10,0.00004316,200,71415.34
211,Bull,0.03088775,0.00009906,0.03094642,2625315.25,2476712.50,76645.40,100.00,0.10,0.00004038,200,76500.06
212,Bull,0.03094642,-0.00006122,0.03082397,1731272.08,1633275.54,50344.04,100.00,0.10,0.00006123,200,50544.04
213,Bull,0.03082397,0.00009371,0.03085726,1754431.74,1655124.28,51072.61,100.00,0.10,0.00006042,200,51017.51
214,Bull,0.03085726,0.00008365,0.03087405,1585275.68,1495543.09,46173.47,100.00,0.10,0.00006687,200,46148.37
215,Bull,0.03087405,0.00010537,0.03092065,1803523.58,1701437.34,52609.54,100.00,0.15,0.00005877,200,52530.25
216,Bull,0.03092065,-0.00011224,0.03075983,2182304.31,2058777.65,63327.65,100.00,0.10,0.00004857,200,63658.73
217,Bull,0.03075983,0.00009640,0.03080974,2279866.28,2150817.24,66266.12,100.00,0.10,0.00004649,200,66158.77
218,Bull,0.03080974,0.00009944,0.03086597,2452837.44,2313997.58,71423.77,100.00,0.10,0.00004322,200,71293.66
219,Bull,0.03086597,0.00010344,0.03093072,2740001.26,2584906.85,79953.03,100.00,0.10,0.00003869,200,79785.65
220,Bull,0.03093072,0.00010402,0.03100023,3071494.10,2897635.94,89827.37,100.00,0.10,0.00003451,200,89625.96
221,Bull,0.03100023,-0.00011773,0.03085523,3888350.52,3668255.21,113184.86,100.00,0.10,0.00002726,200,113716.74
222,Bull,0.03085523,0.00008779,0.03091427,3687597.33,3478865.40,107546.60,100.00,0.07,0.00002875,200,107341.20
223,Bull,0.03091427,0.00010472,0.03099354,4163817.11,3928129.35,121746.62,100.00,0.07,0.00002546,200,121435.26
224,Bull,0.03099354,0.00010628,0.03107754,4759219.12,4489829.36,139532.85,100.00,0.07,0.00002227,200,139155.69
